,time
1564,4052
1565,4053
1566,4060
1567,4065
1568,4068
1569,4078
1570,4080
1571,4085
1572,4086
1573,4087
1574,4089
1575,4090
1576,4091
1577,4092
1578,4093
1579,4096
